edge_id,from_id,from_type,relationship,to_id,to_type,association_class,direction,evidence_strength,evidence_state,context_ids,trigger_ids,source_ids,exact_source_location,rule_id,snapshot_id,confidence_state,strength_if_quantified,unit_if_quantified,created_at,notes
edge-00001,preethi-mg-zodiac-mg218,PRODUCT,BELONGS_TO,preethi-mixer-grinders,CATEGORY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,from products.csv category_id foreign key
edge-00002,preethi-mg-zodiac-mg218,PRODUCT,FAMILY_MEMBER_OF,preethi-mg-zodiac,FAMILY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00003,preethi-mg-zodiac-mg218,PRODUCT,BELONGS_TO,preethi,BRAND,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00004,preethi-mg-zodiac2-mg255,PRODUCT,BELONGS_TO,preethi-mixer-grinders,CATEGORY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,from products.csv category_id foreign key
edge-00005,preethi-mg-zodiac2-mg255,PRODUCT,FAMILY_MEMBER_OF,preethi-mg-zodiac,FAMILY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00006,preethi-mg-zodiac2-mg255,PRODUCT,BELONGS_TO,preethi,BRAND,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00007,preethi-mg-blueleaf-mg281,PRODUCT,BELONGS_TO,preethi-mixer-grinders,CATEGORY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,from products.csv category_id foreign key
edge-00008,preethi-mg-blueleaf-mg281,PRODUCT,FAMILY_MEMBER_OF,preethi-mg-blueleaf,FAMILY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00009,preethi-mg-blueleaf-mg281,PRODUCT,BELONGS_TO,preethi,BRAND,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00010,preethi-mg-diamond-mg214,PRODUCT,BELONGS_TO,preethi-mixer-grinders,CATEGORY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,from products.csv category_id foreign key
edge-00011,preethi-mg-diamond-mg214,PRODUCT,FAMILY_MEMBER_OF,preethi-mg-diamond,FAMILY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00012,preethi-mg-diamond-mg214,PRODUCT,BELONGS_TO,preethi,BRAND,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00013,preethi-mg-ecoplus-mg138,PRODUCT,BELONGS_TO,preethi-mixer-grinders,CATEGORY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,from products.csv category_id foreign key
edge-00014,preethi-mg-ecoplus-mg138,PRODUCT,FAMILY_MEMBER_OF,preethi-mg-eco,FAMILY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00015,preethi-mg-ecoplus-mg138,PRODUCT,BELONGS_TO,preethi,BRAND,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00016,preethi-gs-glamsteel-3b,PRODUCT,BELONGS_TO,preethi-gas-stoves,CATEGORY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,from products.csv category_id foreign key
edge-00017,preethi-gs-glamsteel-3b,PRODUCT,FAMILY_MEMBER_OF,preethi-gs-glamsteel,FAMILY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00018,preethi-gs-glamsteel-3b,PRODUCT,BELONGS_TO,preethi,BRAND,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00019,preethi-gs-silverin-2b,PRODUCT,BELONGS_TO,preethi-gas-stoves,CATEGORY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,from products.csv category_id foreign key
edge-00020,preethi-gs-silverin-2b,PRODUCT,FAMILY_MEMBER_OF,preethi-gs-silverin,FAMILY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
