label_id,label_type,canonical_name,definition,scope,status,source_ids,rule_id,confidence_state,notes
ARCH_A1_DEDICATED_PURIFICATION,CAPABILITY,Dedicated Purification,Air treatment is the primary and only physical function.,philips-air-climate,RULE_DERIVED,,RULE-LENS-A-ARCHITECTURE,HIGH,
ARCH_A2_PURIFICATION_HUMIDIFICATION,CAPABILITY,Purification + Humidification,Air cleaning and moisture management are physically integrated.,philips-air-climate,RULE_DERIVED,,RULE-LENS-A-ARCHITECTURE,HIGH,
ARCH_A3_PURIFICATION_FAN,CAPABILITY,Purification + Fan,Clean-air function is integrated with comfort airflow.,philips-air-climate,RULE_DERIVED,,RULE-LENS-A-ARCHITECTURE,HIGH,
ARCH_A4_PURIFICATION_FAN_HEAT,CAPABILITY,Purification + Fan + Heat,Clean-air function is integrated into thermal comfort.,philips-air-climate,RULE_DERIVED,,RULE-LENS-A-ARCHITECTURE,HIGH,
INTEL_D0_MANUAL,INTELLIGENCE,Manual,User directly selects operating state; no meaningful environment-reactive automation.,philips-air-climate,RULE_DERIVED,,RULE-LENS-D-INTELLIGENCE,HIGH,
INTEL_D1_REACTIVE,INTELLIGENCE,Reactive,Product senses an environmental variable and automatically changes operation per a fixed rule.,philips-air-climate,RULE_DERIVED,,RULE-LENS-D-INTELLIGENCE,HIGH,
INTEL_D2_CONNECTED,INTELLIGENCE,Connected,Remote control / app / voice / external data access exists. Connected != intelligent.,philips-air-climate,RULE_DERIVED,,RULE-LENS-D-INTELLIGENCE,HIGH,
INTEL_D3_ADAPTIVE,INTELLIGENCE,Adaptive,System changes operation based on context/history/routine beyond a single immediate sensor threshold.,philips-air-climate,RULE_DERIVED,,RULE-LENS-D-INTELLIGENCE,HIGH,
DIGITAL_CONNECTIVITY,DIGITAL,Generic Wi-Fi/App Connectivity,Product exposes Wi-Fi or app-based remote control; specific named app not confirmed in spec text.,global,RULE_DERIVED,,RULE-DIGITAL-LAYER,HIGH,
FILTRATION,CAPABILITY,Filtration,Air-treatment capability: Filtration,philips-air-climate,RULE_DERIVED,,,HIGH,
PARTICLE_SENSING,CAPABILITY,Particle Sensing,Air-treatment capability: Particle Sensing,philips-air-climate,RULE_DERIVED,,,HIGH,
GAS_SENSING,CAPABILITY,Gas Sensing,Air-treatment capability: Gas Sensing,philips-air-climate,RULE_DERIVED,,,HIGH,
AIRFLOW,CAPABILITY,Airflow,Air-treatment capability: Airflow,philips-air-climate,RULE_DERIVED,,,HIGH,
AUTOMATION,CAPABILITY,Automation,Air-treatment capability: Automation,philips-air-climate,RULE_DERIVED,,,HIGH,
APP_CONTROL,CAPABILITY,App Control,Air-treatment capability: App Control,philips-air-climate,RULE_DERIVED,,,HIGH,
HUMIDIFICATION_CAP,CAPABILITY,Humidification,Air-treatment capability: Humidification,philips-air-climate,RULE_DERIVED,,,HIGH,
HEAT_CAP,CAPABILITY,Heat,Air-treatment capability: Heat,philips-air-climate,RULE_DERIVED,,,HIGH,
FAN_CAP,CAPABILITY,Fan,Air-treatment capability: Fan,philips-air-climate,RULE_DERIVED,,,HIGH,
JOB_KEEP_AIR_CLEANER,USER_JOB,Keep indoor air cleaner,Candidate user job for Air Treatment: Keep indoor air cleaner,philips-air-climate,CANDIDATE,,,LOW,
JOB_RESPOND_TO_POLLUTION,USER_JOB,Respond to pollution episodes,Candidate user job for Air Treatment: Respond to pollution episodes,philips-air-climate,CANDIDATE,,,LOW,
JOB_REDUCE_MONITORING_EFFORT,USER_JOB,Reduce effort of monitoring air,Candidate user job for Air Treatment: Reduce effort of monitoring air,philips-air-climate,CANDIDATE,,,LOW,
JOB_MAINTAIN_BEDROOM_CONDITIONS,USER_JOB,Maintain acceptable bedroom conditions,Candidate user job for Air Treatment: Maintain acceptable bedroom conditions,philips-air-climate,CANDIDATE,,,LOW,
JOB_MANAGE_EVENT_AIR,USER_JOB,Manage air during cooking/pollen/pet events,Candidate user job for Air Treatment: Manage air during cooking/pollen/pet events,philips-air-climate,CANDIDATE,,,LOW,
NEED_HEALTH_REASSURANCE,NEED,health-related reassurance,Candidate need (health-related) for Air Treatment: health-related reassurance,philips-air-climate,CANDIDATE,,,LOW,
NEED_COMFORT,NEED,comfort,Candidate need (emotional/perceptual) for Air Treatment: comfort,philips-air-climate,CANDIDATE,,,LOW,
NEED_TRUST,NEED,trust,Candidate need (emotional/perceptual) for Air Treatment: trust,philips-air-climate,CANDIDATE,,,LOW,
NEED_LOW_EFFORT,NEED,low effort,Candidate need (functional) for Air Treatment: low effort,philips-air-climate,CANDIDATE,,,LOW,
NEED_RELIABILITY,NEED,reliability,Candidate need (functional) for Air Treatment: reliability,philips-air-climate,CANDIDATE,,,LOW,
NEED_CONTROL,NEED,control,Candidate need (functional) for Air Treatment: control,philips-air-climate,CANDIDATE,,,LOW,
NEED_LOW_MAINTENANCE,NEED,low maintenance,Candidate need (economic) for Air Treatment: low maintenance,philips-air-climate,CANDIDATE,,,LOW,
NEED_LOW_DISRUPTION,NEED,low disruption,Candidate need (social/contextual) for Air Treatment: low disruption,philips-air-climate,CANDIDATE,,,LOW,
CTX_BEDROOM,CONTEXT,bedroom,Candidate usage context for Air Treatment: bedroom,philips-air-climate,CANDIDATE,,,LOW,
CTX_NIGHT,CONTEXT,night,Candidate usage context for Air Treatment: night,philips-air-climate,CANDIDATE,,,LOW,
CTX_COOKING,CONTEXT,cooking,Candidate usage context for Air Treatment: cooking,philips-air-climate,CANDIDATE,,,LOW,
CTX_URBAN_POLLUTION,CONTEXT,urban pollution,Candidate usage context for Air Treatment: urban pollution,philips-air-climate,CANDIDATE,,,LOW,
CTX_POLLEN_SEASON,CONTEXT,pollen season,Candidate usage context for Air Treatment: pollen season,philips-air-climate,CANDIDATE,,,LOW,
CTX_PET_HOUSEHOLD,CONTEXT,pet household,Candidate usage context for Air Treatment: pet household,philips-air-climate,CANDIDATE,,,LOW,
CTX_CHILDREN,CONTEXT,children,Candidate usage context for Air Treatment: children,philips-air-climate,CANDIDATE,,,LOW,
CTX_LARGE_ROOM,CONTEXT,large room,Candidate usage context for Air Treatment: large room,philips-air-climate,CANDIDATE,,,LOW,
CTX_SMALL_ROOM,CONTEXT,small room,Candidate usage context for Air Treatment: small room,philips-air-climate,CANDIDATE,,,LOW,
CTX_HIGH_OUTDOOR_PM,CONTEXT,high outdoor PM,Candidate usage context for Air Treatment: high outdoor PM,philips-air-climate,CANDIDATE,,,LOW,
CTX_LOW_VENTILATION,CONTEXT,low ventilation,Candidate usage context for Air Treatment: low ventilation,philips-air-climate,CANDIDATE,,,LOW,
TRIG_PM_SPIKE,TRIGGER,PM spike,Candidate trigger for Air Treatment: PM spike,philips-air-climate,CANDIDATE,,,LOW,
TRIG_ODOR_GAS_EVENT,TRIGGER,odor/gas event,Candidate trigger for Air Treatment: odor/gas event,philips-air-climate,CANDIDATE,,,LOW,
TRIG_COOKING,TRIGGER,cooking,Candidate trigger for Air Treatment: cooking,philips-air-climate,CANDIDATE,,,LOW,
TRIG_BEDTIME,TRIGGER,bedtime,Candidate trigger for Air Treatment: bedtime,philips-air-climate,CANDIDATE,,,LOW,
TRIG_POLLEN_ALERT,TRIGGER,pollen alert,Candidate trigger for Air Treatment: pollen alert,philips-air-climate,CANDIDATE,,,LOW,
TRIG_VISITOR_ARRIVAL,TRIGGER,visitor arrival,Candidate trigger for Air Treatment: visitor arrival,philips-air-climate,CANDIDATE,,,LOW,
TRIG_PET_ACTIVITY,TRIGGER,pet activity,Candidate trigger for Air Treatment: pet activity,philips-air-climate,CANDIDATE,,,LOW,
TRIG_OUTDOOR_POLLUTION_EVENT,TRIGGER,outdoor pollution event,Candidate trigger for Air Treatment: outdoor pollution event,philips-air-climate,CANDIDATE,,,LOW,
BEH_RUNS_CONTINUOUSLY,BEHAVIOR,runs continuously,Candidate user behavior for Air Treatment: runs continuously,philips-air-climate,CANDIDATE,,,LOW,
BEH_LOWERS_FAN_SPEED,BEHAVIOR,lowers fan speed,Candidate user behavior for Air Treatment: lowers fan speed,philips-air-climate,CANDIDATE,,,LOW,
BEH_USES_AUTO_MODE,BEHAVIOR,uses auto mode,Candidate user behavior for Air Treatment: uses auto mode,philips-air-climate,CANDIDATE,,,LOW,
BEH_SWITCHES_OFF_AT_NIGHT,BEHAVIOR,switches off at night,Candidate user behavior for Air Treatment: switches off at night,philips-air-climate,CANDIDATE,,,LOW,
BEH_MOVES_PRODUCT_BETWEEN_ROOMS,BEHAVIOR,moves product between rooms,Candidate user behavior for Air Treatment: moves product between rooms,philips-air-climate,CANDIDATE,,,LOW,
BEH_CHECKS_APP,BEHAVIOR,checks app,Candidate user behavior for Air Treatment: checks app,philips-air-climate,CANDIDATE,,,LOW,
BEH_IGNORES_FILTER_REMINDER,BEHAVIOR,ignores filter reminder,Candidate user behavior for Air Treatment: ignores filter reminder,philips-air-climate,CANDIDATE,,,LOW,
BEH_REPLACES_FILTER,BEHAVIOR,replaces filter,Candidate user behavior for Air Treatment: replaces filter,philips-air-climate,CANDIDATE,,,LOW,
BEH_OPENS_WINDOW_INSTEAD,BEHAVIOR,opens window instead,Candidate user behavior for Air Treatment: opens window instead,philips-air-climate,CANDIDATE,,,LOW,
BEH_USES_ANOTHER_CLIMATE_DEVICE,BEHAVIOR,uses another climate device,Candidate user behavior for Air Treatment: uses another climate device,philips-air-climate,CANDIDATE,,,LOW,
FRIC_NOISE,FRICTION,noise,Candidate friction for Air Treatment: noise,philips-air-climate,CANDIDATE,,,LOW,
FRIC_FILTER_COST,FRICTION,filter cost,Candidate friction for Air Treatment: filter cost,philips-air-climate,CANDIDATE,,,LOW,
FRIC_MAINTENANCE,FRICTION,maintenance,Candidate friction for Air Treatment: maintenance,philips-air-climate,CANDIDATE,,,LOW,
FRIC_ENERGY_CONCERN,FRICTION,energy concern,Candidate friction for Air Treatment: energy concern,philips-air-climate,CANDIDATE,,,LOW,
FRIC_SENSOR_DISTRUST,FRICTION,sensor distrust,Candidate friction for Air Treatment: sensor distrust,philips-air-climate,CANDIDATE,,,LOW,
FRIC_UNCLEAR_EFFECTIVENESS,FRICTION,unclear effectiveness,Candidate friction for Air Treatment: unclear effectiveness,philips-air-climate,CANDIDATE,,,LOW,
FRIC_VISUAL_INTRUSION,FRICTION,visual intrusion,Candidate friction for Air Treatment: visual intrusion,philips-air-climate,CANDIDATE,,,LOW,
FRIC_FOOTPRINT,FRICTION,footprint,Candidate friction for Air Treatment: footprint,philips-air-climate,CANDIDATE,,,LOW,
FRIC_CONFUSING_CONTROLS,FRICTION,confusing controls,Candidate friction for Air Treatment: confusing controls,philips-air-climate,CANDIDATE,,,LOW,
FRIC_APP_DEPENDENCY,FRICTION,app dependency,Candidate friction for Air Treatment: app dependency,philips-air-climate,CANDIDATE,,,LOW,
OUT_LOWER_MEASURED_INDOOR_PARTICLE_CONCENTRATION,HEALTH_RELATED_OUTCOME,lower measured indoor particle concentration,Candidate outcome for Air Treatment: lower measured indoor particle concentration -- health-related; requires a specific study before being treated as established.,philips-air-climate,CANDIDATE,,,LOW,
OUT_LOWER_EXPOSURE_WHERE_SUPPORTED,HEALTH_RELATED_OUTCOME,lower exposure where supported,Candidate outcome for Air Treatment: lower exposure where supported -- health-related; requires a specific study before being treated as established.,philips-air-climate,CANDIDATE,,,LOW,
OUT_IMPROVED_PERCEIVED_AIR_QUALITY,OUTCOME,improved perceived air quality,Candidate outcome for Air Treatment: improved perceived air quality,philips-air-climate,CANDIDATE,,,LOW,
OUT_HIGHER_TRUST,OUTCOME,higher trust,Candidate outcome for Air Treatment: higher trust,philips-air-climate,CANDIDATE,,,LOW,
OUT_HIGHER_ADHERENCE,OUTCOME,higher adherence,Candidate outcome for Air Treatment: higher adherence,philips-air-climate,CANDIDATE,,,LOW,
OUT_REDUCED_MANAGEMENT_EFFORT,OUTCOME,reduced management effort,Candidate outcome for Air Treatment: reduced management effort,philips-air-climate,CANDIDATE,,,LOW,
OUT_LOWER_DISRUPTION,OUTCOME,lower disruption,Candidate outcome for Air Treatment: lower disruption,philips-air-climate,CANDIDATE,,,LOW,
COFFEE_JOB_0,USER_JOB,Make a satisfying coffee quickly,Candidate user job: Make a satisfying coffee quickly,COFFEE,CANDIDATE,,,LOW,
COFFEE_JOB_1,USER_JOB,Get consistent results without barista skill,Candidate user job: Get consistent results without barista skill,COFFEE,CANDIDATE,,,LOW,
COFFEE_JOB_2,USER_JOB,Try different coffee styles,Candidate user job: Try different coffee styles,COFFEE,CANDIDATE,,,LOW,
COFFEE_JOB_3,USER_JOB,Reduce daily effort and mess,Candidate user job: Reduce daily effort and mess,COFFEE,CANDIDATE,,,LOW,
COFFEE_JOB_4,USER_JOB,Serve guests confidently,Candidate user job: Serve guests confidently,COFFEE,CANDIDATE,,,LOW,
COFFEE_NEED_0,NEED,ritual/routine,Candidate need: ritual/routine,COFFEE,CANDIDATE,,,LOW,
COFFEE_NEED_1,NEED,quality consistency,Candidate need: quality consistency,COFFEE,CANDIDATE,,,LOW,
COFFEE_NEED_2,NEED,low effort,Candidate need: low effort,COFFEE,CANDIDATE,,,LOW,
COFFEE_NEED_3,NEED,trust in the machine,Candidate need: trust in the machine,COFFEE,CANDIDATE,,,LOW,
COFFEE_NEED_4,NEED,control over strength/milk,Candidate need: control over strength/milk,COFFEE,CANDIDATE,,,LOW,
COFFEE_CTX_0,CONTEXT,morning routine,Candidate context: morning routine,COFFEE,CANDIDATE,,,LOW,
COFFEE_CTX_1,CONTEXT,after meals,Candidate context: after meals,COFFEE,CANDIDATE,,,LOW,
COFFEE_CTX_2,CONTEXT,guests visiting,Candidate context: guests visiting,COFFEE,CANDIDATE,,,LOW,
COFFEE_CTX_3,CONTEXT,home office,Candidate context: home office,COFFEE,CANDIDATE,,,LOW,
COFFEE_CTX_4,CONTEXT,weekend leisure,Candidate context: weekend leisure,COFFEE,CANDIDATE,,,LOW,
COFFEE_TRIG_0,TRIGGER,waking up,Candidate trigger: waking up,COFFEE,CANDIDATE,,,LOW,
COFFEE_TRIG_1,TRIGGER,post-meal craving,Candidate trigger: post-meal craving,COFFEE,CANDIDATE,,,LOW,
COFFEE_TRIG_2,TRIGGER,guest arrival,Candidate trigger: guest arrival,COFFEE,CANDIDATE,,,LOW,
COFFEE_TRIG_3,TRIGGER,afternoon energy dip,Candidate trigger: afternoon energy dip,COFFEE,CANDIDATE,,,LOW,
COFFEE_BEH_0,BEHAVIOR,uses default programmed drink,Candidate behavior: uses default programmed drink,COFFEE,CANDIDATE,,,LOW,
COFFEE_BEH_1,BEHAVIOR,adjusts grind/strength occasionally,Candidate behavior: adjusts grind/strength occasionally,COFFEE,CANDIDATE,,,LOW,
COFFEE_BEH_2,BEHAVIOR,descales when prompted,Candidate behavior: descales when prompted,COFFEE,CANDIDATE,,,LOW,
COFFEE_BEH_3,BEHAVIOR,cleans milk system,Candidate behavior: cleans milk system,COFFEE,CANDIDATE,,,LOW,
COFFEE_BEH_4,BEHAVIOR,rarely tries new recipes,Candidate behavior: rarely tries new recipes,COFFEE,CANDIDATE,,,LOW,
COFFEE_FRIC_0,FRICTION,descaling,Candidate friction: descaling,COFFEE,CANDIDATE,,,LOW,
COFFEE_FRIC_1,FRICTION,bean/capsule/pod cost,Candidate friction: bean/capsule/pod cost,COFFEE,CANDIDATE,,,LOW,
COFFEE_FRIC_2,FRICTION,milk system cleaning,Candidate friction: milk system cleaning,COFFEE,CANDIDATE,,,LOW,
COFFEE_FRIC_3,FRICTION,noise,Candidate friction: noise,COFFEE,CANDIDATE,,,LOW,
COFFEE_FRIC_4,FRICTION,counter footprint,Candidate friction: counter footprint,COFFEE,CANDIDATE,,,LOW,
COFFEE_OUT_0,OUTCOME,consistent cup quality,Candidate outcome: consistent cup quality,COFFEE,CANDIDATE,,,LOW,
COFFEE_OUT_1,OUTCOME,time saved vs manual brewing,Candidate outcome: time saved vs manual brewing,COFFEE,CANDIDATE,,,LOW,
COFFEE_OUT_2,OUTCOME,higher satisfaction than instant coffee,Candidate outcome: higher satisfaction than instant coffee,COFFEE,CANDIDATE,,,LOW,
COFFEE_OUT_3,OUTCOME,reduced out-of-home coffee spend,Candidate outcome: reduced out-of-home coffee spend,COFFEE,CANDIDATE,,,LOW,
FOOD_JOB_0,USER_JOB,Cook meals faster,Candidate user job: Cook meals faster,FOOD,CANDIDATE,,,LOW,
FOOD_JOB_1,USER_JOB,Reduce oil/fat in cooking,Candidate user job: Reduce oil/fat in cooking,FOOD,CANDIDATE,,,LOW,
FOOD_JOB_2,USER_JOB,Prepare food with less manual effort,Candidate user job: Prepare food with less manual effort,FOOD,CANDIDATE,,,LOW,
FOOD_JOB_3,USER_JOB,Achieve consistent results,Candidate user job: Achieve consistent results,FOOD,CANDIDATE,,,LOW,
FOOD_JOB_4,USER_JOB,Expand recipe variety,Candidate user job: Expand recipe variety,FOOD,CANDIDATE,,,LOW,
FOOD_NEED_0,NEED,health-conscious eating,Candidate need: health-conscious eating,FOOD,CANDIDATE,,,LOW,
FOOD_NEED_1,NEED,time saving,Candidate need: time saving,FOOD,CANDIDATE,,,LOW,
FOOD_NEED_2,NEED,low effort,Candidate need: low effort,FOOD,CANDIDATE,,,LOW,
FOOD_NEED_3,NEED,confidence in results,Candidate need: confidence in results,FOOD,CANDIDATE,,,LOW,
FOOD_NEED_4,NEED,easy cleanup,Candidate need: easy cleanup,FOOD,CANDIDATE,,,LOW,
FOOD_CTX_0,CONTEXT,weeknight dinner,Candidate context: weeknight dinner,FOOD,CANDIDATE,,,LOW,
FOOD_CTX_1,CONTEXT,breakfast rush,Candidate context: breakfast rush,FOOD,CANDIDATE,,,LOW,
FOOD_CTX_2,CONTEXT,batch cooking,Candidate context: batch cooking,FOOD,CANDIDATE,,,LOW,
FOOD_CTX_3,CONTEXT,entertaining guests,Candidate context: entertaining guests,FOOD,CANDIDATE,,,LOW,
FOOD_CTX_4,CONTEXT,snacking,Candidate context: snacking,FOOD,CANDIDATE,,,LOW,
FOOD_TRIG_0,TRIGGER,hunger/mealtime,Candidate trigger: hunger/mealtime,FOOD,CANDIDATE,,,LOW,
FOOD_TRIG_1,TRIGGER,new recipe discovery,Candidate trigger: new recipe discovery,FOOD,CANDIDATE,,,LOW,
FOOD_TRIG_2,TRIGGER,health goal,Candidate trigger: health goal,FOOD,CANDIDATE,,,LOW,
FOOD_TRIG_3,TRIGGER,guests arriving,Candidate trigger: guests arriving,FOOD,CANDIDATE,,,LOW,
FOOD_BEH_0,BEHAVIOR,uses preset programs,Candidate behavior: uses preset programs,FOOD,CANDIDATE,,,LOW,
FOOD_BEH_1,BEHAVIOR,checks food partway through,Candidate behavior: checks food partway through,FOOD,CANDIDATE,,,LOW,
FOOD_BEH_2,BEHAVIOR,cleans basket/jug/jars after use,Candidate behavior: cleans basket/jug/jars after use,FOOD,CANDIDATE,,,LOW,
FOOD_BEH_3,BEHAVIOR,follows online recipes,Candidate behavior: follows online recipes,FOOD,CANDIDATE,,,LOW,
FOOD_BEH_4,BEHAVIOR,batch-preps,Candidate behavior: batch-preps,FOOD,CANDIDATE,,,LOW,
FOOD_FRIC_0,FRICTION,cleaning baskets/blades/jars,Candidate friction: cleaning baskets/blades/jars,FOOD,CANDIDATE,,,LOW,
FOOD_FRIC_1,FRICTION,noise,Candidate friction: noise,FOOD,CANDIDATE,,,LOW,
FOOD_FRIC_2,FRICTION,counter space,Candidate friction: counter space,FOOD,CANDIDATE,,,LOW,
FOOD_FRIC_3,FRICTION,learning curve,Candidate friction: learning curve,FOOD,CANDIDATE,,,LOW,
FOOD_FRIC_4,FRICTION,capacity limits for families,Candidate friction: capacity limits for families,FOOD,CANDIDATE,,,LOW,
FOOD_OUT_0,OUTCOME,faster meal prep,Candidate outcome: faster meal prep,FOOD,CANDIDATE,,,LOW,
FOOD_OUT_1,OUTCOME,lower-fat results where applicable,Candidate outcome: lower-fat results where applicable,FOOD,CANDIDATE,,,LOW,
FOOD_OUT_2,OUTCOME,more recipe variety,Candidate outcome: more recipe variety,FOOD,CANDIDATE,,,LOW,
FOOD_OUT_3,OUTCOME,reduced takeout reliance,Candidate outcome: reduced takeout reliance,FOOD,CANDIDATE,,,LOW,
FLOOR_JOB_0,USER_JOB,Keep floors clean with less effort,Candidate user job: Keep floors clean with less effort,FLOOR,CANDIDATE,,,LOW,
FLOOR_JOB_1,USER_JOB,Avoid manual vacuuming/mopping,Candidate user job: Avoid manual vacuuming/mopping,FLOOR,CANDIDATE,,,LOW,
FLOOR_JOB_2,USER_JOB,Manage pet hair,Candidate user job: Manage pet hair,FLOOR,CANDIDATE,,,LOW,
FLOOR_JOB_3,USER_JOB,Maintain hygiene,Candidate user job: Maintain hygiene,FLOOR,CANDIDATE,,,LOW,
FLOOR_JOB_4,USER_JOB,Free up personal time,Candidate user job: Free up personal time,FLOOR,CANDIDATE,,,LOW,
FLOOR_NEED_0,NEED,low effort,Candidate need: low effort,FLOOR,CANDIDATE,,,LOW,
FLOOR_NEED_1,NEED,trust the device works unattended,Candidate need: trust the device works unattended,FLOOR,CANDIDATE,,,LOW,
FLOOR_NEED_2,NEED,reliability,Candidate need: reliability,FLOOR,CANDIDATE,,,LOW,
FLOOR_NEED_3,NEED,low maintenance,Candidate need: low maintenance,FLOOR,CANDIDATE,,,LOW,
FLOOR_NEED_4,NEED,cleanliness confidence,Candidate need: cleanliness confidence,FLOOR,CANDIDATE,,,LOW,
FLOOR_CTX_0,CONTEXT,daily upkeep,Candidate context: daily upkeep,FLOOR,CANDIDATE,,,LOW,
FLOOR_CTX_1,CONTEXT,pet households,Candidate context: pet households,FLOOR,CANDIDATE,,,LOW,
FLOOR_CTX_2,CONTEXT,allergy-sensitive homes,Candidate context: allergy-sensitive homes,FLOOR,CANDIDATE,,,LOW,
FLOOR_CTX_3,CONTEXT,multi-room homes,Candidate context: multi-room homes,FLOOR,CANDIDATE,,,LOW,
FLOOR_CTX_4,CONTEXT,before guests arrive,Candidate context: before guests arrive,FLOOR,CANDIDATE,,,LOW,
FLOOR_TRIG_0,TRIGGER,visible mess,Candidate trigger: visible mess,FLOOR,CANDIDATE,,,LOW,
FLOOR_TRIG_1,TRIGGER,scheduled cleaning time,Candidate trigger: scheduled cleaning time,FLOOR,CANDIDATE,,,LOW,
FLOOR_TRIG_2,TRIGGER,pet shedding season,Candidate trigger: pet shedding season,FLOOR,CANDIDATE,,,LOW,
FLOOR_TRIG_3,TRIGGER,guests arriving soon,Candidate trigger: guests arriving soon,FLOOR,CANDIDATE,,,LOW,
FLOOR_BEH_0,BEHAVIOR,schedules automatic runs,Candidate behavior: schedules automatic runs,FLOOR,CANDIDATE,,,LOW,
FLOOR_BEH_1,BEHAVIOR,empties dustbin/station,Candidate behavior: empties dustbin/station,FLOOR,CANDIDATE,,,LOW,
FLOOR_BEH_2,BEHAVIOR,manually spot-cleans,Candidate behavior: manually spot-cleans,FLOOR,CANDIDATE,,,LOW,
FLOOR_BEH_3,BEHAVIOR,moves obstacles for robot,Candidate behavior: moves obstacles for robot,FLOOR,CANDIDATE,,,LOW,
FLOOR_BEH_4,BEHAVIOR,replaces brushes/filters,Candidate behavior: replaces brushes/filters,FLOOR,CANDIDATE,,,LOW,
FLOOR_FRIC_0,FRICTION,emptying/cleaning station,Candidate friction: emptying/cleaning station,FLOOR,CANDIDATE,,,LOW,
FLOOR_FRIC_1,FRICTION,brush hair tangle,Candidate friction: brush hair tangle,FLOOR,CANDIDATE,,,LOW,
