product_id,realm,tag,score,basis,rationale,generated_at
preethi-mg-diamond-mg214,ECONOMIC,Price tier: entry within category,2.0,RULE_DERIVED,Percentile rank 0% among 5 priced siblings in this category (min observed price €3799-equivalent).,2026-08-27
preethi-mg-ecoplus-mg138,ECONOMIC,Price tier: entry within category,4.0,RULE_DERIVED,Percentile rank 25% among 5 priced siblings in this category (min observed price €6799-equivalent).,2026-08-27
preethi-mg-zodiac-mg218,ECONOMIC,Price tier: mid within category,6.0,RULE_DERIVED,Percentile rank 50% among 5 priced siblings in this category (min observed price €10699-equivalent).,2026-08-27
preethi-mg-blueleaf-mg281,ECONOMIC,Price tier: premium within category,8.0,RULE_DERIVED,Percentile rank 75% among 5 priced siblings in this category (min observed price €10745-equivalent).,2026-08-27
preethi-mg-zodiac2-mg255,ECONOMIC,Price tier: premium within category,10.0,RULE_DERIVED,Percentile rank 100% among 5 priced siblings in this category (min observed price €16245-equivalent).,2026-08-27
preethi-gs-silverin-2b,ECONOMIC,Price tier: entry within category,2.0,RULE_DERIVED,Percentile rank 0% among 3 priced siblings in this category (min observed price €6399-equivalent).,2026-08-27
preethi-gs-valentino-gts121,ECONOMIC,Price tier: mid within category,6.0,RULE_DERIVED,Percentile rank 50% among 3 priced siblings in this category (min observed price €10445-equivalent).,2026-08-27
preethi-gs-glamsteel-3b,ECONOMIC,Price tier: premium within category,10.0,RULE_DERIVED,Percentile rank 100% among 3 priced siblings in this category (min observed price €10599-equivalent).,2026-08-27
preethi-ic-ic116,ECONOMIC,Price tier: entry within category,2.0,RULE_DERIVED,Percentile rank 0% among 2 priced siblings in this category (min observed price €3399-equivalent).,2026-08-27
preethi-ic-ic125,ECONOMIC,Price tier: premium within category,10.0,RULE_DERIVED,Percentile rank 100% among 2 priced siblings in this category (min observed price €3928-equivalent).,2026-08-27
preethi-ch-kh311,ECONOMIC,Price tier: entry within category,2.0,RULE_DERIVED,Percentile rank 0% among 2 priced siblings in this category (min observed price €24900-equivalent).,2026-08-27
preethi-ch-kh317,ECONOMIC,Price tier: premium within category,10.0,RULE_DERIVED,Percentile rank 100% among 2 priced siblings in this category (min observed price €29999-equivalent).,2026-08-27
preethi-pc-pc024,ECONOMIC,Price tier: entry within category,2.0,RULE_DERIVED,Percentile rank 0% among 1 priced siblings in this category (min observed price €1958-equivalent).,2026-08-27
preethi-cw-csw037,ECONOMIC,Price tier: entry within category,2.0,RULE_DERIVED,Percentile rank 0% among 2 priced siblings in this category (min observed price €748-equivalent).,2026-08-27
preethi-cw-kadai26,ECONOMIC,Price tier: premium within category,10.0,RULE_DERIVED,Percentile rank 100% among 2 priced siblings in this category (min observed price €1405-equivalent).,2026-08-27
philips-air-ac0920-10,ECONOMIC,Price tier: entry within category,2.0,RULE_DERIVED,Percentile rank 0% among 6 priced siblings in this category (min observed price €127-equivalent).,2026-08-27
philips-air-ac0951-13,ECONOMIC,Price tier: entry within category,3.6,RULE_DERIVED,Percentile rank 20% among 6 priced siblings in this category (min observed price €129-equivalent).,2026-08-27
philips-air-ac0651-10,ECONOMIC,Price tier: mid within category,5.2,RULE_DERIVED,Percentile rank 40% among 6 priced siblings in this category (min observed price €134.99-equivalent).,2026-08-27
philips-air-ac2220-10,ECONOMIC,Price tier: mid within category,6.8,RULE_DERIVED,Percentile rank 60% among 6 priced siblings in this category (min observed price €169.99-equivalent).,2026-08-27
philips-air-ac3220-10,ECONOMIC,Price tier: premium within category,8.4,RULE_DERIVED,Percentile rank 80% among 6 priced siblings in this category (min observed price €292-equivalent).,2026-08-27
philips-air-ac3420-10,ECONOMIC,Price tier: premium within category,10.0,RULE_DERIVED,Percentile rank 100% among 6 priced siblings in this category (min observed price €350-equivalent).,2026-08-27
philips-cf-bar305-00,ECONOMIC,Price tier: entry within category,2.0,RULE_DERIVED,Percentile rank 0% among 4 priced siblings in this category (min observed price €299.99-equivalent).,2026-08-27
philips-cf-ep3347-90,ECONOMIC,Price tier: entry within category,4.7,RULE_DERIVED,Percentile rank 33% among 4 priced siblings in this category (min observed price €457.98-equivalent).,2026-08-27
philips-cf-psa3218-01,ECONOMIC,Price tier: mid within category,7.3,RULE_DERIVED,Percentile rank 67% among 4 priced siblings in this category (min observed price €489.59-equivalent).,2026-08-27
philips-cf-ep8757-20,ECONOMIC,Price tier: premium within category,10.0,RULE_DERIVED,Percentile rank 100% among 4 priced siblings in this category (min observed price €890-equivalent).,2026-08-27
saeco-cf-xelsis-deluxe-sm8782,ECONOMIC,Price tier: entry within category,2.0,RULE_DERIVED,Percentile rank 0% among 3 priced siblings in this category (min observed price €699.99-equivalent).,2026-08-27
saeco-cf-granaroma-sm6480,ECONOMIC,Price tier: mid within category,6.0,RULE_DERIVED,Percentile rank 50% among 3 priced siblings in this category (min observed price €763.98-equivalent).,2026-08-27
