competitor_product_id,dimension,status,evidence_note,source_id
dyson-purifier-cool-tp07,SENSE,EVIDENCED,"Three sensors constantly analyze air: PM10, PM5.0, PM2.5, PM0.1, VOC/benzene, NO2, shown as real-time AQI.",src-041ce5457da8
dyson-purifier-cool-tp07,REACT,EVIDENCED,"Dyson purifiers automatically detect and remove pollutants in Auto mode, without user action.",src-041ce5457da8
dyson-purifier-cool-tp07,ADAPT,UNKNOWN,No mention of behavior changing based on accumulated room pollution patterns over time.,src-041ce5457da8
dyson-purifier-cool-tp07,PREDICT,UNKNOWN,"Only reactive real-time detection/reporting; filter replacement is a threshold notification, not a forecast.",src-041ce5457da8
dyson-purifier-cool-tp07,LEARN,UNKNOWN,No individual-user-preference learning documented.,src-041ce5457da8
dyson-purifier-cool-tp07,COORDINATE,UNKNOWN,Only single-device control via Dyson Link app / voice assistants; no multi-device coordination described.,src-041ce5457da8
dyson-purifier-humidify-cool-ph04,SENSE,EVIDENCED,"Four sensors continuously monitor the air, including a solid-state formaldehyde sensor.",src-c1c10763f906
dyson-purifier-humidify-cool-ph04,REACT,EVIDENCED,Algorithm diagnoses pollutants at a molecular level and reacts by cleaning and humidifying before reporting air quality.,src-c1c10763f906
dyson-purifier-humidify-cool-ph04,ADAPT,UNKNOWN,No accumulated-pattern behavior described.,src-c1c10763f906
dyson-purifier-humidify-cool-ph04,PREDICT,UNKNOWN,Reacts to current molecular readings in real time -- not a forecast of a future pollution state.,src-c1c10763f906
dyson-purifier-humidify-cool-ph04,LEARN,UNKNOWN,No user-preference learning documented.,src-c1c10763f906
dyson-purifier-humidify-cool-ph04,COORDINATE,UNKNOWN,Only MyDyson app / Alexa / Siri single-device control described.,src-c1c10763f906
ikea-starkvind,SENSE,EVIDENCED,Automatically detects PM2.5 particles in the air.,src-8d1a8fa1b680
ikea-starkvind,REACT,EVIDENCED,Detects PM2.5 and adjusts fan speed automatically in response.,src-8d1a8fa1b680
ikea-starkvind,ADAPT,UNKNOWN,No accumulated room-pattern learning described.,src-8d1a8fa1b680
ikea-starkvind,PREDICT,UNKNOWN,No forecasting of pollution or filter life described.,src-8d1a8fa1b680
ikea-starkvind,LEARN,UNKNOWN,No individual-preference learning described.,src-8d1a8fa1b680
ikea-starkvind,COORDINATE,EVIDENCED,"Caveat: via DIRIGERA hub, can 'set timers and create scenes with other smart home products' -- hub-level scene-linking, not sensor-triggered device-to-device response; weaker form of coordination.",src-8d1a8fa1b680
winix-t800,SENSE,EVIDENCED,Spec sheet names a Particle Sensor; a separate light sensor triggers automatic Sleep mode at night.,src-9652b0161bd0
winix-t800,REACT,EVIDENCED,"In automatic mode, sensor measures air quality and fan speed adjusts automatically based on real-time reading.",src-9652b0161bd0
winix-t800,ADAPT,UNKNOWN,No accumulated-pattern behavior described.,src-9652b0161bd0
winix-t800,PREDICT,UNKNOWN,No forecast/prediction feature described.,src-9652b0161bd0
winix-t800,LEARN,UNKNOWN,No individual-preference learning described.,src-9652b0161bd0
winix-t800,COORDINATE,UNKNOWN,Only WINIX Smart App / Alexa / Google Assistant single-device control described.,src-9652b0161bd0
coway-airmega-150,SENSE,UNKNOWN,"Spec sheet lists only a 4-colour Air Quality Indicator; no specific sensor type (e.g. PM2.5/dust sensor) named anywhere, confirmed on direct re-check.",src-a80922df1d87
coway-airmega-150,REACT,EVIDENCED,Smart Auto Mode automatically adjusts performance based on air quality; 4-stage airflow includes Auto.,src-a80922df1d87
coway-airmega-150,ADAPT,UNKNOWN,No accumulated-pattern behavior described.,src-a80922df1d87
coway-airmega-150,PREDICT,UNKNOWN,No forecast/prediction feature described.,src-a80922df1d87
