competitor_id,company_name,parent_company,hq_country,hq_city,origin_country,official_domain,ownership_notes,source_ids,logo_url,logo_source_page,logo_state,logo_bg
sharkninja,SharkNinja (Ninja),,United States,"Needham, Massachusetts",United States,sharkninja.com,"Official About/Company pages 404'd this session; HQ confirmed via official newsroom + careers subdomains instead. Logo self-hosted locally 2026-08-27 (was hotlinked externally, which failed to render in the user's browser due to CORS/referrer blocking on several CDNs).",src-a87fa4b89ac8|src-b7d4c5ed5388,/logos/sharkninja.svg,https://sharkninja.com/,VERIFIED_OFFICIAL,light
vesync-cosori,"Vesync Co., Ltd. (Cosori)",,United States,"Anaheim, California",United States,vesync.com,"Cosori is a Vesync-owned brand. Cosori consumer-brand logo used (cleaner SVG than Vesync's corporate raster logo); both are official same-family assets. Logo self-hosted locally 2026-08-27 (was hotlinked externally, which failed to render in the user's browser due to CORS/referrer blocking on several CDNs).",src-6c87d3007647|src-c2fe365dea32,/logos/vesync-cosori.svg,https://cosori.com/,VERIFIED_OFFICIAL,light
bajaj-electricals,Bajaj Electricals Ltd,,India,Mumbai,India,bajajelectricals.com,"Their live header logo is genuinely an animated GIF -- no static alternative found on the page. Logo self-hosted locally 2026-08-27 (was hotlinked externally, which failed to render in the user's browser due to CORS/referrer blocking on several CDNs).",src-04e77b5b554e|src-f3c1ea42da79,/logos/bajaj-electricals.gif,https://www.bajajelectricals.com/,VERIFIED_OFFICIAL,light
instant-brands,Instant Brands (Corelle Brands),Corelle Brands,United States,"Downers Grove, Illinois",United States,instantpot.com,"Instant Pot is a Corelle Brands / Instant Brands portfolio brand. Logo self-hosted locally 2026-08-27 (was hotlinked externally, which failed to render in the user's browser due to CORS/referrer blocking on several CDNs).",src-61eef0e87b34|src-f103ec5099b8,/logos/instant-brands.png,https://instantpot.com/,VERIFIED_OFFICIAL,light
vitamix,Vitamix Corporation,,United States,"Olmsted Falls / Cleveland, Ohio",United States,vitamix.com,"Logo self-hosted locally 2026-08-27 (was hotlinked externally, which failed to render in the user's browser due to CORS/referrer blocking on several CDNs).",src-f9111c5a2986|src-cc03414bfe69,/logos/vitamix.svg,https://www.vitamix.com/,VERIFIED_OFFICIAL,light
tefal-groupeseb,Tefal (Groupe SEB),Groupe SEB,France,Ecully,France,tefal.nl,"Rowenta, also Groupe SEB, deliberately excluded to avoid double-counting one corporate group. tefal.com auto-redirects to the Portuguese locale; asset confirmed to contain the Tefal wordmark paths. LOGO FIX 2026-08-27: downloaded sprite (symbol root) was unrenderable as a plain <img> -- replaced with tefal.pt's real favicon (48x48 PNG, shows the actual Tefal T-mark).",src-ae010882028b|src-118c9a2851c4,/logos/tefal-groupeseb.png,https://www.tefal.pt/,FAVICON_FALLBACK,light
braun-delonghi,Braun Household (De'Longhi),De'Longhi,Germany,Neu-Isenburg,Germany,braunhousehold.com,"Direct WebFetch of Braun product pages returned 403 (anti-bot); prices sourced via a search-grounding pass that read the live official page, not a direct fetch — flagged as slightly lower confidence than Tefal/SteamOne rows. Header wordmark is an inline SVG symbol with no standalone file; used the site's own 512x512 app-icon PNG instead, verified by screenshot to show the full BRAUN wordmark. Logo self-hosted locally 2026-08-27 (was hotlinked externally, which failed to render in the user's browser due to CORS/referrer blocking on several CDNs).",src-c6dd18b84a84|src-2ea391e5cc8b,/logos/braun-delonghi.png,https://www.braunhousehold.com/,VERIFIED_OFFICIAL,light
steamone,SteamOne (STEAMONE SASU),,France,Paris,France,steam-one.com,"Logo self-hosted locally 2026-08-27 (was hotlinked externally, which failed to render in the user's browser due to CORS/referrer blocking on several CDNs).",src-227ce025b77d|src-e9fb53e5050c,/logos/steamone.svg,https://steam-one.com/en,VERIFIED_OFFICIAL,light
dyson,Dyson,,Singapore,"Singapore (St James Power Station, HarbourFront)",Singapore,dyson.com,"Global HQ moved to Singapore (confirmed 2019/2022 per Dyson's own statement). dyson.com redirects by geo to a locale subdomain; asset is on Dyson's own shared global CDN path used across all locales. Logo self-hosted locally 2026-08-27 (was hotlinked externally, which failed to render in the user's browser due to CORS/referrer blocking on several CDNs). Official mark is a white wordmark, rendered on a dark chip.",src-bf4477a66896|src-7cafc91bd804,/logos/dyson.svg,https://www.dyson.com,VERIFIED_OFFICIAL,dark
ikea,Inter IKEA Systems B.V. (IKEA),,Netherlands,Delft,Sweden,ikea.com,"City (Delft) confirmed via IKEA's own Dutch B.V. copyright line + corroborated by KVK/D&B registers, not verbatim on a Tier-A page — flagged as strong-but-secondary for city only; country is Tier A. Logo self-hosted locally 2026-08-27 (was hotlinked externally, which failed to render in the user's browser due to CORS/referrer blocking on several CDNs).",src-82149415cc9f|src-e97f3e365b27,/logos/ikea.svg,https://www.ikea.com,VERIFIED_OFFICIAL,light
winix,WINIX,,South Korea,"Siheung-si, Gyeonggi-do",South Korea,winixeurope.eu,"CORRECTED 2026-08-27 per independent audit: originally recorded as Seoul; true HQ is Siheung-si, Gyeonggi-do, a distinct city in the greater Seoul metro area, not Seoul itself. EU operations via winixeurope.eu. IMPORTANT: thewinix.com (the domain previously on file) has been compromised and now serves an unrelated Indonesian online-gambling storefront -- official_domain corrected to winixeurope.eu, the verified legitimate WINIX site. Do not visit thewinix.com. Logo self-hosted locally 2026-08-27 (was hotlinked externally, which failed to render in the user's browser due to CORS/referrer blocking on several CDNs).",src-3e9cf2678305|src-775f7515d906,/logos/winix.svg,https://winixeurope.eu/en/,VERIFIED_OFFICIAL,light
coway,Coway,,South Korea,"Seoul (G-Tower, Guro-gu)",South Korea,coway.com,"UK store coway.co.uk used for pricing. coway.com's global header logo is JS-driven text with no reachable img/src; used the coway.co.uk fallback instead. Logo self-hosted locally 2026-08-27 (was hotlinked externally, which failed to render in the user's browser due to CORS/referrer blocking on several CDNs).",src-99dcf6fbf41e|src-29d74b34de67,/logos/coway.webp,https://www.coway.co.uk,VERIFIED_OFFICIAL,light
vesync-levoit,"VeSync Co., Ltd. (Levoit)",,United States,"Anaheim, California",United States,levoit.com,"UK entity VESYNC (UK) LIMITED; same parent as Cosori (see Food world). Logo self-hosted locally 2026-08-27 (was hotlinked externally, which failed to render in the user's browser due to CORS/referrer blocking on several CDNs).",src-9643373eeff5|src-65543080ddbe,/logos/vesync-levoit.png,https://www.levoit.com,VERIFIED_OFFICIAL,light
delonghi,De'Longhi Group (De'Longhi S.p.A.),,Italy,Treviso,Italy,delonghigroup.com,"Logo self-hosted locally 2026-08-27 (was hotlinked externally, which failed to render in the user's browser due to CORS/referrer blocking on several CDNs). Official mark is a white wordmark, rendered on a dark chip.",src-4ec1c1e6d556|src-456ad67c918c,/logos/delonghi.svg,https://www.delonghigroup.com,VERIFIED_OFFICIAL,dark
jura,JURA Elektroapparate AG,,Switzerland,Niederbuchsiten,Switzerland,jura.com,"jura.com redirects by locale to pt.jura.com; same shared global asset path. Logo self-hosted locally 2026-08-27 (was hotlinked externally, which failed to render in the user's browser due to CORS/referrer blocking on several CDNs).",src-8819575c00fc|src-27f97f5e948d,/logos/jura.png,https://www.jura.com,VERIFIED_OFFICIAL,light
melitta,Melitta Group,,Germany,Minden,Germany,melitta-group.com,"Logo self-hosted locally 2026-08-27 (was hotlinked externally, which failed to render in the user's browser due to CORS/referrer blocking on several CDNs).",src-b55e0d6debed|src-b407e6f40c88,/logos/melitta.svg,https://www.melitta-group.com,VERIFIED_OFFICIAL,light
nespresso,Nestle Nespresso SA,Nestle,Switzerland,Lausanne,Switzerland,nespresso.com,"Street-level HQ address corroborated by business registries but not directly stated on an official page reachable this session -- country/city confirmed via official legal/jurisdiction page. This is Nespresso's white-on-transparent mark variant -- may render faintly on a pure-white card background. Logo self-hosted locally 2026-08-27 (was hotlinked externally, which failed to render in the user's browser due to CORS/referrer blocking on several CDNs). Official mark is a white wordmark, rendered on a dark chip.",src-7312ced18ec8|src-cf9d4d1b0daa,/logos/nespresso.svg,https://www.nespresso.com,VERIFIED_OFFICIAL,dark
breville-sage,Breville Group Limited (Sage),,Australia,Sydney,Australia,sageappliances.com,"sageappliances.com header logo is inline SVG; used the Organization schema.org logo field instead, hosted on Breville's own official DAM (Breville owns the Sage brand). Logo self-hosted locally 2026-08-27 (was hotlinked externally, which failed to render in the user's browser due to CORS/referrer blocking on several CDNs).",src-c7ac6e0a1d10|src-e38c8a8e4784,/logos/breville-sage.webp,https://www.sageappliances.com/pt-pt,VERIFIED_OFFICIAL,light
groupeseb-krups,Groupe SEB (Krups),,France,Ecully,France,groupeseb.com,"Same corporate parent as Tefal (see Clothes world) -- HQ fact reused, not re-derived. Krups consumer-brand logo used (URL is locale-specific to PT; other locales serve functionally identical artwork). Logo self-hosted locally 2026-08-27 (was hotlinked externally, which failed to render in the user's browser due to CORS/referrer blocking on several CDNs).",src-aabf7b9f719d|src-474d5510b8d3,/logos/groupeseb-krups.svg,https://www.krups.com,VERIFIED_OFFICIAL,light
roborock,"Beijing Roborock Technology Co., Ltd.",,China,Beijing,China,roborock.com,"Header/footer marks are inline SVG with no hosted file; used the official og:image asset instead, confirmed by screenshot to be a clean logo on white background. Logo self-hosted locally 2026-08-27 (was hotlinked externally, which failed to render in the user's browser due to CORS/referrer blocking on several CDNs).",src-91c837fb7408|src-7ac139494fc9,/logos/roborock.jpg,https://global.roborock.com,VERIFIED_OFFICIAL,light
tineco,"Tineco Intelligent Technology Co., Ltd.",,China,"Suzhou, Jiangsu",China,tineco.com,"HQ city sourced from CN-site ICP filing + third-party corroboration (D&B, iF Design); no single Tineco-owned page states it outright in English -- moderate rather than high confidence. Logo self-hosted locally 2026-08-27 (was hotlinked externally, which failed to render in the user's browser due to CORS/referrer blocking on several CDNs).",src-7e42a2691948|src-5a45ba7963ce,/logos/tineco.png,https://www.tineco.com,VERIFIED_OFFICIAL,light
