claim_id,competitor_product_id,original_claim,claim_type,source_id,test_context,normalized_interpretation,independent_corroboration,conflict,limitation
cclaim-dyson-purifier-cool-tp07-0,dyson-purifier-cool-tp07,Removes 99.95% of particles as small as 0.1 micron,PERFORMANCE,src-041ce5457da8,"Footnote states tested per EN1822, ISO29463 filtration-efficiency standards.",,NOT_FOUND,,"Lab filtration-efficiency test only; does not establish real-room particle concentration reduction, exposure reduction, or any health/clinical outcome."
cclaim-dyson-purifier-cool-tp07-1,dyson-purifier-cool-tp07,Fully sealed to HEPA H13 standard,PERFORMANCE,src-041ce5457da8,"MPPS efficiency tested at IBR US per ASTM F3150, EN1822, DEHS-oil particles; compared to 'other air purifiers market data from March 2020'.",,NOT_FOUND,,"Comparison baseline is other purifiers' March-2020 market data, not current competitors; lab-chamber seal test, not real-room performance."
cclaim-dyson-purifier-cool-tp07-2,dyson-purifier-cool-tp07,POLAR whole-room test: 81 cubic-metre room with 9 sensors vs industry-standard 28.5 cubic-metre room with 1 sensor,PERFORMANCE,src-041ce5457da8,"Dyson's own proprietary POLAR protocol, not a named external/industry standard.",,NOT_FOUND,,"Self-designed, self-administered test; not verifiable against an independent standards body or public database."
cclaim-dyson-purifier-humidify-cool-ph04-3,dyson-purifier-humidify-cool-ph04,Dyson's unique catalytic filter captures and continuously converts formaldehyde into water and CO2,HEALTH,src-c1c10763f906,Tested by an external party per GB/T 18801-2015; page itself states real-world results may differ.,,NOT_FOUND,,"Sealed-chamber CADR-plateau lab test; pollutant reduction does not equal real-room exposure reduction, biomarker change, symptom improvement, or clinical outcome."
cclaim-dyson-purifier-humidify-cool-ph04-4,dyson-purifier-humidify-cool-ph04,"After 60 minutes at max fan speed, airborne virus concentration reduced by 99%",HEALTH,src-c1c10763f906,"Independent lab, aerosolized influenza A (H1N1); page states actual results may vary.",,NOT_FOUND,,"Tests influenza A/H1N1 specifically, not COVID-19; sealed lab test at max fan speed (atypical real-world setting); does not establish reduced infection/illness risk for users."
cclaim-ikea-starkvind-5,ikea-starkvind,Purifies the air in a space of up to 20 square metres,COVERAGE,src-8d1a8fa1b680,CADR verified per GB/T 18801 and the AHAM Certification Program.,,NOT_FOUND,,"CADR-based room-size estimate; real-room performance depends on ceiling height, air exchange, furniture/obstructions. AHAM directory not directly queried in this pass."
cclaim-ikea-starkvind-6,ikea-starkvind,"Removes approximately 99.5% of smaller airborne particles such as PM2.5, dust and pollen",PERFORMANCE,src-8d1a8fa1b680,Same GB/T 18801 / AHAM certification basis.,,NOT_FOUND,,"Filtration efficiency percentage does not equal actual pollutant concentration reduction achieved in a real room, and does not establish exposure or health outcomes."
cclaim-winix-t800-7,winix-t800,Cleans your indoor air quality by 99.999% (H13 HEPA filter),PERFORMANCE,src-9652b0161bd0,No specific standard/particle-size explicitly tied to this figure in retrieved page text.,,NOT_FOUND,,Ambiguous which particle size/standard the figure refers to; filtration percentage does not equal a real-room air-quality guarantee.
cclaim-winix-t800-8,winix-t800,"Suitable for rooms up to 120 square metres, CADR 500 cubic metres per hour",COVERAGE,src-9652b0161bd0,No explicit test method tied to this specific figure (brand separately references AHAM/Energy Star generally).,,NOT_FOUND,,"CADR-based room-size extrapolation; real room performance depends on layout/furniture, not validated per this specific claim."
cclaim-winix-t800-9,winix-t800,Tested and Certified by Allergy UK,HEALTH,src-9652b0161bd0,Named third-party certifier (Allergy UK).,,NOT_FOUND,,"Not independently checked against Allergy UK's own certified-product listing in this pass. Allergy UK certification evaluates allergen-reduction suitability, not clinical health outcomes for an individual user."
cclaim-coway-airmega-150-10,coway-airmega-150,HyperCaptive filtration 99.999% captures ultrafine particles / 99.97% of particles as small as 0.3 microns,PERFORMANCE,src-a80922df1d87,Certified to IEST-RP-CC001 standards (named).,,NOT_FOUND,,"Two different percentages apply to different particle-size claims on the same page, which can mislead on what was actually independently tested; lab efficiency does not equal real-room exposure/health outcome."
cclaim-coway-airmega-150-11,coway-airmega-150,Cleans smaller spaces up to 29 square metres in just 15 minutes,PERFORMANCE,src-a80922df1d87,"No test standard, starting/ending pollutant concentration, or lab stated for this figure.",,NOT_FOUND,,"Unqualified marketing statement; no measurement method disclosed, cannot be independently checked."
cclaim-coway-airmega-mighty-12,coway-airmega-mighty,Captures 99.97% of particles as small as 0.3 microns,PERFORMANCE,src-4f39a466b679,Certified to IEST-RP-CC001 standards (named).,,NOT_FOUND,,"Third-party review sites cite AHAM-verified CADR figures (~246/240/233 CFM) roughly converting to the site's ~421 m3/h CADR claim, but this was not verified directly against aham.org in this pass."
cclaim-coway-airmega-mighty-13,coway-airmega-mighty,"Coverage 109 square metres, CADR 421 cubic metres per hour",COVERAGE,src-4f39a466b679,No standard explicitly named for the coverage/CADR link itself.,,NOT_FOUND,,"CADR-derived coverage estimate; real-room coverage depends on ceiling height, air leakage, furnishing."
cclaim-levoit-core-300s-14,levoit-core-300s,Coverage 50 sqm twice per hour and 100 sqm once per hour (CADR 240 cubic metres per hour),COVERAGE,src-4248e3ef755d,"No performance/CADR test standard cited on page (only FCC/ETL certification, which are electrical-safety/EMC certifications).",,NOT_FOUND,,"Air-change-rate extrapolation; FCC/ETL certify electrical safety, not air-cleaning performance."
cclaim-levoit-core-300s-15,levoit-core-300s,3-stage True HEPA filter traps airborne particles such as pollen and pet dander,PERFORMANCE,src-4248e3ef755d,No specific percentage or lab standard quoted on this page.,,NOT_FOUND,,"'True HEPA' label given without a page-quoted tested percentage/particle size, so the claim's strength is unquantified as stated."
cclaim-levoit-oasismist-16,levoit-oasismist,Increases humidity from 35% to 45% in just 15 minutes,PERFORMANCE,src-2c7426755806,"No room size, ambient conditions, or test method stated.",,NOT_FOUND,,"Unqualified marketing statement; real performance depends on room volume/ventilation/starting humidity, none of which are disclosed."
