competitor_product_id,realm,tag,score,basis,rationale,generated_at
dyson-purifier-cool-tp07,CAPABILITY,Air Filtration,9,RULE_DERIVED,HEPA H13 filter + activated carbon (gas/VOC capable) per official spec; no CADR published so scored on filtration grade alone.,2026-08-27
dyson-purifier-cool-tp07,INTELLIGENCE,Reactive/Connected,6,RULE_DERIVED,"SENSE + REACT evidenced (3 sensors, automatic detect-and-remove behavior); no ADAPT/PREDICT/LEARN/COORDINATE evidence found.",2026-08-27
dyson-purifier-cool-tp07,DIGITAL,Wi-Fi / App Connected,8,RULE_DERIVED,Dyson Link app (named) + voice assistant integration explicitly stated: 7 base + 1 voice.,2026-08-27
dyson-purifier-humidify-cool-ph04,CAPABILITY,Air Filtration,9.5,RULE_DERIVED,Combi 360 Glass HEPA-13 + activated carbon + a dedicated catalytic formaldehyde-destruction filter -- an additional capability stage beyond standard gas/VOC handling.,2026-08-27
dyson-purifier-humidify-cool-ph04,INTELLIGENCE,Reactive/Connected,6,RULE_DERIVED,"SENSE + REACT evidenced (4 sensors incl. formaldehyde, algorithm reacts before reporting); no ADAPT/PREDICT/LEARN/COORDINATE evidence found.",2026-08-27
dyson-purifier-humidify-cool-ph04,DIGITAL,Wi-Fi / App Connected,8,RULE_DERIVED,MyDyson app (named) + voice assistant integration (Alexa/Siri) explicitly stated: 7 base + 1 voice.,2026-08-27
ikea-starkvind,CAPABILITY,Air Filtration,6.5,RULE_DERIVED,"EPA 12 particle filter (99.5%) in the base unit; gas/VOC filtration only available as a separate optional add-on filter, not included -- scored below a full HEPA+gas configuration.",2026-08-27
ikea-starkvind,INTELLIGENCE,Reactive/Connected,7,RULE_DERIVED,"SENSE + REACT evidenced (PM2.5 detection, automatic fan-speed adjustment); +1 for explicit COORDINATE evidence (DIRIGERA hub scene-linking with other smart home devices), a caveated/softer form of coordination than sensor-triggered device response.",2026-08-27
ikea-starkvind,DIGITAL,Wi-Fi / App Connected,8,RULE_DERIVED,IKEA Home smart app (named) + DIRIGERA hub multi-device scene integration explicitly stated: 7 base + 1 hub.,2026-08-27
winix-t800,CAPABILITY,Air Filtration,9,RULE_DERIVED,"HEPA filter (99.999%) + carbon filter (gas/VOC capable), CADR 500 m3/h -- high for this comparison set.",2026-08-27
winix-t800,INTELLIGENCE,Reactive/Connected,6,RULE_DERIVED,"SENSE + REACT evidenced (particle sensor, automatic fan-speed adjustment based on real-time air quality); no ADAPT/PREDICT/LEARN/COORDINATE evidence found.",2026-08-27
winix-t800,DIGITAL,Wi-Fi / App Connected,8,RULE_DERIVED,WINIX Smart App (named) + voice assistant integration (Alexa/Google Assistant) explicitly stated: 7 base + 1 voice.,2026-08-27
coway-airmega-150,CAPABILITY,Air Filtration,7.5,RULE_DERIVED,"HEPA filter (IEST-RP-CC001, 99.97% @0.3um) + activated carbon (gas/VOC capable), CADR 281 m3/h -- moderate for this comparison set.",2026-08-27
coway-airmega-150,INTELLIGENCE,Reactive/Connected,5,RULE_DERIVED,"REACT evidenced (Smart Auto Mode adjusts performance) but SENSE could not be confirmed -- official spec sheet names only a 4-colour Air Quality Indicator, no specific sensor type; scored below the full-evidence tier.",2026-08-27
coway-airmega-150,DIGITAL,Wi-Fi / App Connected,3,RULE_DERIVED,"Official spec sheet explicitly states no app/voice/other-device integration for this base model -- a real, sourced absence, not an unresearched gap.",2026-08-27
coway-airmega-mighty,CAPABILITY,Air Filtration,8.5,RULE_DERIVED,"HEPA filter + Deodorisation filter (gas/VOC capable), CADR 421 m3/h -- high for this comparison set.",2026-08-27
coway-airmega-mighty,INTELLIGENCE,Reactive/Connected,5,RULE_DERIVED,"REACT evidenced (auto-stop after 30min no pollution detected) but SENSE could not be confirmed -- spec sheet names only a 3-colour Air Quality Indicator, no specific sensor type.",2026-08-27
coway-airmega-mighty,DIGITAL,Wi-Fi / App Connected,8,RULE_DERIVED,Coway Iocare App (named) + voice assistant integration (Alexa/Google Home) explicitly stated: 7 base + 1 voice.,2026-08-27
levoit-core-300s,CAPABILITY,Air Filtration,7,RULE_DERIVED,HEPA filter (grade unspecified on official page) + activated carbon (gas/VOC capable); AHAM-registry-confirmed Dust CADR 156 -- modest for this comparison set.,2026-08-27
levoit-core-300s,INTELLIGENCE,Reactive/Connected,6.5,RULE_DERIVED,"SENSE + REACT evidenced (laser dust sensor, automatic mode selection); +0.5 partial credit for a borderline PREDICT signal (in-app remaining filter-life display) explicitly flagged as reading like a usage-based countdown rather than a modeled forecast -- not enough to promote to the Adaptive tier.",2026-08-27
levoit-core-300s,DIGITAL,Wi-Fi / App Connected,8,RULE_DERIVED,VeSync app (named) + voice assistant integration (Alexa/Google Assistant) explicitly stated: 7 base + 1 voice.,2026-08-27
levoit-oasismist,INTELLIGENCE,Reactive/Connected,6,RULE_DERIVED,"SENSE + REACT evidenced (humidistat real-time monitoring, Auto Mode balances mist level to humidity reading); no ADAPT/PREDICT/LEARN/COORDINATE evidence found. No CAPABILITY/Air Filtration row -- this is a humidifier, not a particle-filtration product; scoring it on that axis would be a category error, not an omission.",2026-08-27
levoit-oasismist,DIGITAL,Wi-Fi / App Connected,7,RULE_DERIVED,"VeSync app (named): remote control, schedules, timer, auto mode; no voice-assistant integration explicitly stated for this specific model in the collected evidence.",2026-08-27
